Price,Mileage,EngineV,Registration,Year,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Price_Category_Medium,Price_Category_High
-0.6066562164716488,1.0822133515305095,-0.15681593115032685,1,-2.303728422809343,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
-0.45454251455623895,2.5087765233761004,0.022543017841004733,1,-1.1085342251299533,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-0.23253873338239753,1.8525574643271285,0.4410472321541118,1,-0.5109371262902583,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.1662458365039472,0.7303277691419304,0.2816170552729282,1,0.08665997254943647,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.026979676739951795,-0.4109227683345424,-0.15681593115032685,1,0.6842570713891313,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
7.442995329835198,-1.5521733058110152,0.5406910927048516,1,1.43125344493875,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
-0.5285437749475194,2.6133911559781104,-0.15681593115032685,1,-1.4073327745498008,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
-0.1955381031867573,0.34991092331643947,-0.017314526379291123,1,-0.06273930216048725,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.3353593735149489,0.2833379752969786,-0.25645979170106664,1,0.833656346099055,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
-0.7217692881914184,0.4640359770640868,-0.19667347537062274,0,-1.1085342251299533,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
-0.2880396786758579,0.1311712369667822,-0.25645979170106664,1,0.6842570713891313,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
-0.6765462957300803,0.9205361920546759,-0.19866635258163753,1,-1.8555305986795718,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
-0.3887636164306563,0.017046183219134915,-0.017314526379291123,1,-0.5109371262902583,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
-0.34765180510216714,-0.6011311912472879,-0.19667347537062274,1,0.23605924725936017,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
-0.12153684279547684,0.8254319805983031,0.381260915823668,1,-0.8097356757101059,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
-0.4257642466262965,-0.7532979295774842,-0.25645979170106664,1,0.833656346099055,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
-0.6564015081791207,0.3784421867533513,-0.15681593115032685,0,-0.8097356757101059,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.019014036178507495,0.7303277691419304,-0.1169583869300309,1,0.08665997254943647,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.3101371761536592,-1.3524544617526324,-0.15681593115032685,1,0.9830556208089788,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
-0.6354344844015912,0.8254319805983031,-0.05717207059958707,0,-1.257933499839877,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
